First Name,Last Name,World Rank,Odds,Picture_URL
Rory,McIlroy,1,6/1,McIlroy.png
Jon,Rahm,2,16/1,Rahm.png
Brooks,Koepka,3,12/1,Koepka.png
Justin,Thomas,4,12/1,Thomas.png
Dustin,Johnson,5,12/1,Johnson.png
Adam,Scott,6,29/1,Scott.png
Patrick,Reed,7,33/1,Reed.png
Patrick,Cantlay,8,27/1,Cantlay.png
Webb,Simpson,9,50/1,Simpson.png
Tommy,Fleetwood,10,36/1,Fleetwood.png
Tiger,Woods,11,18/1,Woods.png
Xander,Schauffele,12,29/1,Schauffele.png
Bryson,Dechambeau,13,27/1,Dechambeau.png
Justin,Rose,14,41/1,Rose.png
Marc,Leishman,15,75/1,Leishman.png
Tony,Finau,16,36/1,Finau.png
Matt,Kuchar,17,65/1,Kuchar.png
Gary,Woodland,18,50/1,Woodland.png
Louis,Oosthuizen,19,75/1,Oosthuizen.png
Shane,Lowry,20,65/1,Lowry.png
Tyrrell,Hatton,21,80/1,Hatton.png
Hideki,Matsuyama,22,27/1,Matsuyama.png
Sungjae,Im,23,33/1,Im.png
Paul,Casey,24,50/1,Casey.png
Matthew,Fitzpatrick,25,80/1,Fitzpatrick.png
Bernd,Wiesberger,26,100/1,Wiesberger.png
Rickie,Fowler,27,29/1,Fowler.png
Francesco,Molinari,28,100/1,Molinari.png
Abraham,Ancer,29,150/1,Ancer.png
Kevin,Na,30,280/1,Na.png
Lee,Westwood,31,150/1,Westwood.png
Henrik,Stenson,32,75/1,Stenson.png
Danny,Willett,33,150/1,Willett.png
Billy,Horschel,34,190/1,Horschel.png
Cameron,Smith,35,150/1,Smith.png
Kevin,Kisner,36,150/1,Kisner.png
Chez,Reavie,37,210/1,Reavie.png
Sergio,Garcia,38,65/1,Garcia.png
Jazz,Janewattananond,39,150/1,Janewattananond.png
Shugo,Imahira,41,320/1,Imahira.png
Erik,van Rooyen,42,100/1,van_Rooyen.png
Matt,Wallace,43,100/1,Wallace.png
Collin,Morikawa,44,50/1,Morikawa.png
Scottie,Scheffler,45,80/1,Scheffler.png
Rafa,Cabrera Bello,46,160/1,Cabrera_Bello.png
Brandt,Snedeker,48,160/1,Snedeker.png
Graeme,McDowell,49,260/1,McDowell.png
Byeong,Hun An,50,280/1,Hun_An.png
Jason,Day,51,41/1,Day.png
Sunghoon,Kang,52,350/1,Kang.png
Bubba,Watson,53,75/1,Watson.png
Brendon,Todd,54,120/1,Todd.png
Adam,Hadwin,55,280/1,Hadwin.png
Jordan,Spieth,56,41/1,Spieth.png
Viktor,Hovland,57,50/1,Hovland.png
Ian,Poulter,58,100/1,Poulter.png
Tom,Lewis,59,430/1,Lewis.png
Phil,Mickelson,61,100/1,Mickelson.png
Andrew,Putnam,62,350/1,Putnam.png
Keegan,Bradley,63,150/1,Bradley.png
Eddie,Pepperell,65,210/1,Pepperell.png
Corey,Conners,66,150/1,Conners.png
Robert,MacIntyre,67,210/1,MacIntyre.png
Joel,Dahmen,70,210/1,Dahmen.png
Max,Homa,71,150/1,Homa.png
Jason,Kokrak,72,160/1,Kokrak.png
Thomas,Pieters,73,120/1,Pieters.png
Branden,Grace,74,120/1,Grace.png
Mike,Lorenzo-Vera,75,320/1,Lorenzo_Vera.png
J.T.,Poston,76,210/1,Poston.png
Charles,Howell III,77,210/1,Howell_III.png
Joaquin,Niemann,78,100/1,Niemann.png
Ryan,Palmer,79,350/1,Palmer.png
Nate,Lashley,81,500/1,Lashley.png
Cameron,Champ,83,80/1,Champ.png
Jorge,Campillo,84,430/1,Campillo.png
Jim,Furyk,85,160/1,Furyk.png
Haotong,Li,87,150/1,Li.png
Lucas,Glover,89,150/1,Glover.png
Benjamin,Hebert,93,420/1,Hebert.png
J.B.,Holmes,95,280/1,Holmes.png
Keith,Mitchell,96,190/1,Mitchell.png
Joost,Luiten,98,190/1,Luiten.png
C.T.,Pan,99,350/1,Pan.png
Scott,Piercy,100,190/1,Piercy.png
Vaughn,Taylor,101,420/1,Taylor.png
Rory,Sabbatini,103,120/1,Sabbatini.png
Andrea,Pavan,105,210/1,Pavan.png
Adri,Arnaus,106,260/1,Arnaus.jpg
Ryan,Moore,108,150/1,Moore.png
Matthew,Wolff,110,65/1,Wolff.png
Justin,Harding,111,350/1,Harding.png
Alex,Noren,112,190/1,Noren.png
Dylan,Frittelli,116,260/1,Frittelli.png
Rikuya,Hoshino,117,500/1,Hoshino.png
Lucas,Bjerregaard,119,190/1,Bjerregaard.png
Romain,Langasque,121,210/1,Langasque.png
Russell,Knox,123,210/1,Knox.png
Guido,Migliozzi,125,320/1,Migliozzi.jpg
Emiliano,Grillo,130,190/1,Grillo.png
Ryan,Fox,131,210/1,Fox.png
SiWoo,Kim,134,210/1,Kim.png
Brian,Harman,137,210/1,Harman.png
Kiradech,Aphibarnrat,145,280/1,Aphibarnrat.png
Thorbjorn,Olesen,147,210/1,Olesen.png
Kyle,Stanley,148,280/1,Stanley.png
Mikko,Korhonen,150,420/1,Korhonen.png
Aaron,Wise,152,210/1,Wise.png
Kevin,Tway,157,210/1,Tway.png
Charley,Hoffman,158,210/1,Hoffman.png
Troy,Merritt,159,320/1,Merritt.png
Luke,List,180,160/1,List.png
Jimmy,Walker,248,260/1,Walker.png
Jason,Dufner,290,260/1,Dufner.png
Padraig,Harrington,362,320/1,Harrington.png